url *;_;* path *;_;* pub_date *;_;* pub_sureness *;_;* mod_date *;_;* mod_sureness *;_;* google_date *;_;* hakia_date *;_;* ask_date *;_;* header_last_mod *;_;* header_date *;_;* down_date
http://www.spiegel.de/politik/deutschland/0,1518,731612,00.html *;_;* data/webpages/daterecognition/webpage_1292927030020.html *;_;* 28.11.2010 *;_;* true *;_;* 28.11.2010 *;_;* true *;_;* 2010-11-28 *;_;*  *;_;* 2010-11-28 *;_;*  *;_;* Tue, 21 Dec 2010 10:23:53 GMT *;_;* 2010-12-21 10:23:50
http://www.latinamericanstudies.org/cuba/marquez-sterling-obituary.htm *;_;* data/webpages/daterecognition/webpage_1292927040434.html *;_;*  *;_;* false *;_;* 03 Dec 2008 12:29:37 GMT *;_;* true *;_;* 1991-05-04 *;_;*  *;_;* 1991-05-04 *;_;* Wed, 03 Dec 2008 12:29:37 GMT *;_;* Tue, 21 Dec 2010 10:24:04 GMT *;_;* 2010-12-21 10:24:00
http://bettingchoice.co.uk/2010-world-cup-group-a-predictions-and-betting-tips_20033 *;_;* data/webpages/daterecognition/webpage_1292927053270.html *;_;* 11. jun 2010 *;_;* true *;_;* 11. jun 2010 *;_;* true *;_;* 2010-06-11 *;_;*  *;_;* 2010-06-11 *;_;* Tue, 21 Dec 2010 10:24:06 GMT *;_;* Tue, 21 Dec 2010 10:24:17 GMT *;_;* 2010-12-21 10:24:13
http://narcosphere.narconews.com/thefield/president-planet-stupid-people-opposes-caroline-kennedy *;_;* data/webpages/daterecognition/webpage_1292927066953.html *;_;* December 20, 2008 *;_;* true *;_;* December 26, 2008 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 06:20:50 GMT *;_;* Tue, 21 Dec 2010 06:20:49 GMT *;_;* 2010-12-21 10:24:26
http://www.articlesbase.com/gifts-articles/buy-and-sell-sites-the-webs-department-store-981259.html *;_;* data/webpages/daterecognition/webpage_1292927080224.html *;_;* 19. jun 2009 *;_;* true *;_;*  *;_;* false *;_;* 2009-06-19 *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:24:44 GMT *;_;* 2010-12-21 10:24:40
http://www.teachingvirtues.net/Israelspeech.html *;_;* data/webpages/daterecognition/webpage_1292927091332.html *;_;* 23 May 2001 21:00:15 GMT *;_;* false *;_;* May 29, 2001 *;_;* false *;_;*  *;_;*  *;_;*  *;_;* Wed, 23 May 2001 21:00:15 GMT *;_;* Tue, 21 Dec 2010 10:24:58 GMT *;_;* 2010-12-21 10:24:51
http://www.seeburger.com/ecnet-partnership/ *;_;* data/webpages/daterecognition/webpage_1292927101720.html *;_;* SEPTEMBER 15, 2005 *;_;* true *;_;* SEPTEMBER 15, 2005 *;_;* true *;_;* 2005-09-15 *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:07:09 GMT *;_;* 2010-12-21 10:25:01
http://www.healing-arts.org/mehl-madrona/mmtraditionalpaper.htm *;_;* data/webpages/daterecognition/webpage_1292927119174.html *;_;* Jan 24, 2001 *;_;* false *;_;* Apr 14, 2008  *;_;* false *;_;*  *;_;*  *;_;*  *;_;* Thu, 03 Apr 2008 18:37:23 GMT *;_;* Tue, 21 Dec 2010 10:25:23 GMT *;_;* 2010-12-21 10:25:19
http://www.nakedcapitalism.com/2009/12/is-kleptocracy-a-relevant-term-for-discussion-about-the-origins-of-the-crisis.html *;_;* data/webpages/daterecognition/webpage_1292927138667.html *;_;* December 23, 2009 *;_;* true *;_;* December 29, 2009 *;_;* true *;_;* 2009-12-23 *;_;*  *;_;* 2009-12-23 *;_;* Tue, 21 Dec 2010 04:42:00 -0500 *;_;* Tue, 21 Dec 2010 10:27:44 GMT *;_;* 2010-12-21 10:25:38
http://www.colocode.com/boulder2/chapter7-2.htm *;_;* data/webpages/daterecognition/webpage_1292927151421.html *;_;*  *;_;* false *;_;* 9-8-2007 *;_;* true *;_;* 2007-09-08 *;_;*  *;_;* 2007-09-08 *;_;* Wed, 11 Mar 2009 00:40:28 GMT *;_;* Tue, 21 Dec 2010 10:25:55 GMT *;_;* 2010-12-21 10:25:51
http://www.clublexus.com/forums/is-second-generation/225619-oil-change-stuff-4.html *;_;* data/webpages/daterecognition/webpage_1292927165761.html *;_;* 01. aug 2006 *;_;* true *;_;* 02. aug 2006 *;_;* true *;_;* 2006-08-02 *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:26:09 GMT *;_;* 2010-12-21 10:26:05
http://www.aureliustjin.com/videos/WIS2007/ *;_;* data/webpages/daterecognition/webpage_1292927177452.html *;_;*  *;_;* false *;_;* 26 Aug 2008 08:41:03 GMT *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Tue, 26 Aug 2008 08:41:03 GMT *;_;* Tue, 21 Dec 2010 10:26:21 GMT *;_;* 2010-12-21 10:26:17
http://www.funkmysoul.gr/index.php?s=chicago+gangsters *;_;* data/webpages/daterecognition/webpage_1292927189868.html *;_;* September 15th, 2009 *;_;* true *;_;*  *;_;* false *;_;* 2009-09-15 *;_;*  *;_;* 2009-09-15 *;_;*  *;_;* Tue, 21 Dec 2010 10:26:30 GMT *;_;* 2010-12-21 10:26:29
http://www.audiovision.co.za/info.htm *;_;* data/webpages/daterecognition/webpage_1292927202312.html *;_;*  *;_;* false *;_;* 08 Sep 2010 10:23:42 GMT *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Fri, 10 Dec 2010 11:26:44 GMT *;_;* Tue, 21 Dec 2010 10:26:44 GMT *;_;* 2010-12-21 10:26:42
http://www.cast.org/teachingeverystudent/ideas/tes/chapter8_5.cfm *;_;* data/webpages/daterecognition/webpage_1292927212142.html *;_;* Jun 24, 2002 *;_;* false *;_;*  *;_;* false *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:26:56 GMT *;_;* 2010-12-21 10:26:52
http://blog.wholefoodsmarket.com/2010/06/world-cup-music/ *;_;* data/webpages/daterecognition/webpage_1292927225925.html *;_;* June 4th, 2010 *;_;* true *;_;* July 30th, 2010 *;_;* true *;_;* 2010-06-04 *;_;*  *;_;* 2010-06-04 *;_;*  *;_;* Tue, 21 Dec 2010 10:27:09 GMT *;_;* 2010-12-21 10:27:05
http://www.scribd.com/doc/10975270/Los-Angeles-Solar-Energy-Plan *;_;* data/webpages/daterecognition/webpage_1292927239004.html *;_;*  *;_;* false *;_;* 03/13/2010 *;_;* true *;_;* 2008-11-24 *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:27:23 GMT *;_;* 2010-12-21 10:27:19
http://blog.aarongardner.net/ *;_;* data/webpages/daterecognition/webpage_1292927247286.html *;_;* 13 Apr 2004 22:17:19 GMT *;_;* false *;_;* March 16, 2008 *;_;* true *;_;* 2008-03-16 *;_;*  *;_;*  *;_;* Mon, 28 Jun 2010 07:18:09 GMT *;_;* Tue, 21 Dec 2010 10:27:29 GMT *;_;* 2010-12-21 10:27:27
http://www.independent.com/news/2009/mar/26/introducing-dura-doggie-disc/ *;_;* data/webpages/daterecognition/webpage_1292927258739.html *;_;* March 26, 2009 *;_;* true *;_;* March 28, 2009 *;_;* true *;_;* 2009-03-26 *;_;*  *;_;* 2009-03-26 *;_;*  *;_;* Tue, 21 Dec 2010 10:28:11 GMT *;_;* 2010-12-21 10:27:38
http://www.freecoolarticles.com/FP31.htm *;_;* data/webpages/daterecognition/webpage_1292927272038.html *;_;*  *;_;* false *;_;* 19 Jan 2009 05:50:26 GMT *;_;* false *;_;*  *;_;*  *;_;*  *;_;* Mon, 19 Jan 2009 05:50:26 GMT *;_;* Tue, 21 Dec 2010 10:27:56 GMT *;_;* 2010-12-21 10:27:52
http://www.timelines.ws/21stcent/2008_1.HTML *;_;* data/webpages/daterecognition/webpage_1292927290417.html *;_;*  *;_;* false *;_;* 14 Feb 2010 21:17:36 GMT *;_;* false *;_;*  *;_;*  *;_;*  *;_;* Sun, 14 Feb 2010 21:17:36 GMT *;_;* Tue, 21 Dec 2010 10:28:14 GMT *;_;* 2010-12-21 10:28:10
http://breast-cancer-research.com/content/10/4/210 *;_;* data/webpages/daterecognition/webpage_1292927305016.html *;_;* 22Â JulyÂ 2008 *;_;* true *;_;*  *;_;* false *;_;* 2008-07-22 *;_;*  *;_;* 2008-07-22 *;_;*  *;_;* Tue, 21 Dec 2010 10:28:28 GMT *;_;* 2010-12-21 10:28:25
http://www.deadline.com/2010/10/billy-idol-memoir-selling-fast-at-frankfurt/ *;_;* data/webpages/daterecognition/webpage_1292927316203.html *;_;* 10 October 2010 02:30 *;_;* true *;_;* 10 October 2010 21:24 *;_;* true *;_;* 2010-10-10 *;_;*  *;_;* 2010-10-10 *;_;* Tue, 21 Dec 2010 10:28:31 GMT *;_;* Tue, 21 Dec 2010 10:28:40 GMT *;_;* 2010-12-21 10:28:36
http://www.pbs.org/newshour/bb/law/jan-june07/troubled_04-18.html *;_;* data/webpages/daterecognition/webpage_1292927328677.html *;_;* April 18, 2007 *;_;* true *;_;*  *;_;* false *;_;* 2007-04-18 *;_;*  *;_;* 2007-04-18 *;_;*  *;_;* Tue, 21 Dec 2010 10:28:52 GMT *;_;* 2010-12-21 10:28:48
