url *;_;* path *;_;* pub_date *;_;* pub_sureness *;_;* mod_date *;_;* mod_sureness *;_;* google_date *;_;* hakia_date *;_;* ask_date *;_;* header_last_mod *;_;* header_date *;_;* down_date 
http://maths.york.ac.uk/www/ResearchStatsPublications?page=1 *;_;* data/evaluation/daterecognition/webpages/webpage_1307394067929.html *;_;*  *;_;* true *;_;*  *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Mon, 06 Jun 2011 21:01:37 GMT *;_;* Mon, 06 Jun 2011 21:01:45 GMT *;_;* 2011-06-06 21:01:07
http://www.atarimax.com/freenet/freenet_material/6.16and32-BitComputersSupportArea/8.OnlineMagazines/showarticle.php?131 *;_;* data/evaluation/daterecognition/webpages/webpage_1307394072238.html *;_;* Thu Mar 28 11:39:45 1991 *;_;* true *;_;* Thu Mar 28 11:39:45 1991 *;_;* true *;_;* 1991-03-08 *;_;*  *;_;*  *;_;*  *;_;* Mon, 06 Jun 2011 21:01:49 GMT *;_;* 2011-06-06 21:01:12
http://altacanyon.com/ *;_;* data/evaluation/daterecognition/webpages/webpage_1307394077482.html *;_;*  *;_;* true *;_;* 2011-05-12 *;_;* true *;_;* 2011-05-11 *;_;*  *;_;*  *;_;*  *;_;* Mon, 06 Jun 2011 21:01:55 GMT *;_;* 2011-06-06 21:01:17
http://archives.focus.hms.harvard.edu/2003/March21_2003/occupational_health.html *;_;* data/evaluation/daterecognition/webpages/webpage_1307394080921.html *;_;* 2003-03-21 *;_;* true *;_;* 2003-03-21 *;_;* true *;_;* 2003-03-21 *;_;*  *;_;*  *;_;* Thu, 30 Nov 2006 18:16:00 GMT *;_;* Mon, 06 Jun 2011 21:01:58 GMT *;_;* 2011-06-06 21:01:20
http://www.atp.nist.gov/eao/gcr708.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1307394094588.html *;_;* December 1996 *;_;* true *;_;* April 12, 2005 *;_;* true *;_;* 2005-04-12 *;_;*  *;_;*  *;_;* Mon, 28 Jul 2008 14:49:23 GMT *;_;* Mon, 06 Jun 2011 21:02:12 GMT *;_;* 2011-06-06 21:01:34
http://www.egyptvoyager.com/redsea_formation_diving.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1307394106745.html *;_;*  *;_;* true *;_;*  *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Fri, 25 May 2001 12:09:46 GMT *;_;* Mon, 06 Jun 2011 21:02:22 GMT *;_;* 2011-06-06 21:01:46
http://politicalticker.blogs.cnn.com/2008/09/09/mccain-reacts-to-washington-post-story/ *;_;* data/evaluation/daterecognition/webpages/webpage_1307394123208.html *;_;* September 9th, 2008 *;_;* true *;_;* September 9, 2008 05:53 *;_;* true *;_;* 2008-09-09 *;_;*  *;_;* 2008-09-09 *;_;*  *;_;* Mon, 06 Jun 2011 21:02:40 GMT *;_;* 2011-06-06 21:02:03
http://hairstyles.hairboutique.com/details.php?ID=35644 *;_;* data/evaluation/daterecognition/webpages/webpage_1307394129078.html *;_;*  *;_;* true *;_;*  *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Mon, 06 Jun 2011 21:02:48 GMT *;_;* 2011-06-06 21:02:09
http://kiddywinktoys.com/ *;_;* data/evaluation/daterecognition/webpages/webpage_1307394141488.html *;_;* May-31-2011 *;_;* true *;_;* August 22, 2010 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Mon, 06 Jun 2011 21:02:53 GMT *;_;* 2011-06-06 21:02:21
http://www.americanthinker.com/blog/2009/06/australia_leads_the_way_in_rej.html *;_;* data/evaluation/daterecognition/webpages/webpage_1307394160974.html *;_;* June 25, 2009 *;_;* true *;_;* June 25, 2009 *;_;* true *;_;* 2009-06-25 *;_;*  *;_;* 2009-06-25 *;_;* Thu, 02 Jun 2011 06:15:35 GMT *;_;* Mon, 06 Jun 2011 21:03:18 GMT *;_;* 2011-06-06 21:02:40
