url *;_;* path *;_;* pub_date *;_;* pub_sureness *;_;* mod_date *;_;* mod_sureness *;_;* google_date *;_;* hakia_date *;_;* ask_date *;_;* header_last_mod *;_;* header_date *;_;* down_date 
http://www.servicecanada.gc.ca/eng/mb/LMBulletins/lmb_dec10.shtml *;_;* data/evaluation/daterecognition/webpages/webpage_1301417272464.html *;_;*  *;_;* false *;_;* 2011-02-10 *;_;* true *;_;* 2011-02-10 *;_;*  *;_;* 2011-02-10 *;_;*  *;_;* Tue, 29 Mar 2011 16:49:05 GMT *;_;* 2011-03-29 16:47:52
http://www.nlm.nih.gov/pubs/cd_hum.nut.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301427731087.html *;_;* 27 February 1998 *;_;* true *;_;* 07 May 2009 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Fri, 07 Jan 2011 07:52:24 GMT *;_;* Tue, 29 Mar 2011 19:42:19 GMT *;_;* 2011-03-29 19:42:11
http://www.bbc.co.uk/blogs/mattslater/2010/10/saving_sport_from_legal_oblivi.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301427767943.html *;_;* 11 October 2010 *;_;* true *;_;* 13th Okt 2010 *;_;* true *;_;* 2010-10-11 *;_;*  *;_;* 2010-10-11 *;_;*  *;_;* Tue, 29 Mar 2011 19:42:55 GMT *;_;* 2011-03-29 19:42:47
http://www.collectionscanada.gc.ca/primeministers/h4-4066-e.html *;_;* data/evaluation/daterecognition/webpages/webpage_1292928104755.html *;_;* 2001-04-23 *;_;* true *;_;* 2002-01-29 *;_;* true *;_;* 2001-04-23 *;_;*  *;_;* 2001-04-23 *;_;*  *;_;* Tue, 21 Dec 2010 10:41:49 GMT *;_;* 2010-12-21 10:41:44
http://www.foxnews.com/story/0,2933,150621,00.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301430712700.html *;_;* 2005-03-16 *;_;* true *;_;* 2005-03-16 *;_;* true *;_;* 2005-03-16 *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 20:32:00 GMT *;_;* 2011-03-29 20:31:52
http://www.dandodiary.com/2009/09/ *;_;* data/evaluation/daterecognition/webpages/webpage_1292928806194.html *;_;* September 1, 2009 *;_;* true *;_;* September 30, 2009 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Wed, 03 Nov 2010 21:56:01 GMT *;_;* Tue, 21 Dec 2010 10:53:30 GMT *;_;* 2010-12-21 10:53:26
http://www.canada.com/technology/scientists+ozone+layer+depletion+stopped/3534556/story.html *;_;* data/evaluation/daterecognition/webpages/webpage_1294149711111.html *;_;* September 16, 2010 *;_;* true *;_;* September 16, 2010 *;_;* true *;_;* 2010-09-16 *;_;*  *;_;* 2010-09-16 *;_;*  *;_;* Tue, 04 Jan 2011 14:01:59 GMT *;_;* 2011-01-04 14:01:51
http://www.thestreet.com/story/1499521/energy-investors-hope-opec-production-cut-fires-up-sector.html *;_;* data/evaluation/daterecognition/webpages/webpage_1292928061898.html *;_;* 24.07.2001 *;_;* true *;_;* 24.07.2001 *;_;* false *;_;* 2001-07-24 *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:41:05 GMT *;_;* 2010-12-21 10:41:01
http://www.ceramicindustry.com/Articles/Products/3eb9f0bf09ac7010VgnVCM100000f932a8c0____ *;_;* data/evaluation/daterecognition/webpages/webpage_1301423336885.html *;_;* October 6, 2004 *;_;* true *;_;* October 6, 2004 *;_;* true *;_;* 2004-10-06 *;_;*  *;_;* 2004-10-06 *;_;*  *;_;* Tue, 29 Mar 2011 18:24:32 GMT *;_;* 2011-03-29 18:28:56
http://www.politico.com/blogs/thecrypt/0508/Pelosi_strongly_condemns_Bush_speech.html *;_;* data/evaluation/daterecognition/webpages/webpage_1292928636119.html *;_;* May 15, 2008 *;_;* true *;_;* May 15, 2008 *;_;* true *;_;* 2008-05-15 *;_;*  *;_;* 2008-05-15 *;_;* Tue, 31 Aug 2010 04:03:45 GMT *;_;* Tue, 21 Dec 2010 10:50:40 GMT *;_;* 2010-12-21 10:50:36
http://www.lifescript.com/Body/Style/Your-Look/The_6_Rules_of_Cleavage.aspx *;_;* data/evaluation/daterecognition/webpages/webpage_1301427780191.html *;_;* December 18, 2010 *;_;* true *;_;* December 18, 2010 *;_;* true *;_;* 2010-12-18 *;_;*  *;_;* 2010-12-18 *;_;*  *;_;* Tue, 29 Mar 2011 19:43:08 GMT *;_;* 2011-03-29 19:43:00
http://www.telegraph.co.uk/news/politics/8039008/Margaret-Thatchers-former-offices-are-taken-over-by-Eurocrats.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301423323947.html *;_;* 03 Oct 2010 *;_;* true *;_;* 03 Oct 2010 *;_;* true *;_;* 2010-10-03 *;_;*  *;_;* 2010-10-03 *;_;* Tue, 29 Mar 2011 18:20:03 GMT *;_;* Tue, 29 Mar 2011 18:28:51 GMT *;_;* 2011-03-29 18:28:43
http://www.staugustine.com/stories/072798/karate.shtml *;_;* data/evaluation/daterecognition/webpages/webpage_1301427745536.html *;_;* July 27, 1998 *;_;* true *;_;* July 27, 1998 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 19:42:33 GMT *;_;* 2011-03-29 19:42:25
http://www.ibtimes.com/articles/61026/20100909/mobile-charging-stations-could-cut-costs-for-electric-cars.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1301427843297.html *;_;* September 9, 2010 5:07 PM *;_;* true *;_;* September 9, 2010 5:07 PM *;_;* true *;_;* 2010-09-09 *;_;*  *;_;* 2010-09-09 *;_;*  *;_;* Tue, 29 Mar 2011 19:44:10 GMT *;_;* 2011-03-29 19:44:03
http://www.bbc.co.uk/blogs/ni/2008/04/is_religion_a_social_evil.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301427750533.html *;_;* 24 April 2008 *;_;* true *;_;* 30 May 2008 *;_;* true *;_;* 2008-04-24 *;_;*  *;_;* 2008-04-24 *;_;*  *;_;* Tue, 29 Mar 2011 19:42:38 GMT *;_;* 2011-03-29 19:42:30
http://amarillo.com/stories/091301/usn_movesto.shtml *;_;* data/evaluation/daterecognition/webpages/webpage_1292927474130.html *;_;* September 13, 2001 *;_;* true *;_;* September 13, 2001 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:31:18 GMT *;_;* 2010-12-21 10:31:14
http://www.businessinsider.com/every-great-presentation-needs-these-3-elements-2010-9 *;_;* data/evaluation/daterecognition/webpages/webpage_1294162610134.html *;_;* 2010-09-03 *;_;* true *;_;* 2010-09-07 *;_;* true *;_;* 2010-09-03 *;_;*  *;_;* 2010-09-03 *;_;*  *;_;* Tue, 04 Jan 2011 17:36:58 GMT *;_;* 2011-01-04 17:36:50
http://www.guardian.co.uk/stage/theatreblog/2009/may/05/arts-council-england-sustain-fund *;_;* data/evaluation/daterecognition/webpages/webpage_1301415281363.html *;_;* 5 May 2009 *;_;* true *;_;* 11 May 2009 12:07 *;_;* true *;_;* 2009-05-05 *;_;* 2009-05-05 17:17:00 *;_;* 2009-05-05 *;_;*  *;_;* Tue, 29 Mar 2011 16:14:48 GMT *;_;* 2011-03-29 16:14:41
http://www.seattlepi.com/local/191339_farmaid17ww.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301427825475.html *;_;* September 17, 2004 *;_;* true *;_;* September 17, 2004 *;_;* true *;_;* 2004-09-17 *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 19:43:53 GMT *;_;* 2011-03-29 19:43:45
http://www.mrc.org/biasalert/2011/20110303041712.aspx *;_;* data/evaluation/daterecognition/webpages/webpage_1301427762334.html *;_;* March 03, 2011 4:10 PM EST *;_;* true *;_;* March 03, 2011 4:10 PM EST *;_;* true *;_;* 2011-03-03 *;_;*  *;_;* 2011-03-03 *;_;*  *;_;* Tue, 29 Mar 2011 19:42:50 GMT *;_;* 2011-03-29 19:42:42
http://www.pbs.org/newshour/bb/law/jan-june07/troubled_04-18.html *;_;* data/evaluation/daterecognition/webpages/webpage_1294234496990.html *;_;* April 18, 2007 *;_;* true *;_;* April 18, 2007 *;_;* false *;_;* 2007-04-18 *;_;*  *;_;* 2007-04-18 *;_;*  *;_;* Wed, 05 Jan 2011 13:35:07 GMT *;_;* 2011-01-05 13:34:56
http://www.state.gov/g/drl/rls/hrrpt/2007/100467.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1294148146857.html *;_;* March 11, 2008 *;_;* true *;_;* March 11, 2008 *;_;* true *;_;* 2008-03-11 *;_;*  *;_;* 2008-03-11 *;_;*  *;_;* Tue, 04 Jan 2011 13:35:54 GMT *;_;* 2011-01-04 13:35:46
http://www.mafhoum.com/press10/302P2.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1292928711596.html *;_;* June 28, 2007 *;_;* false *;_;* June 28, 2007 *;_;* false *;_;* 2007-05-31 *;_;*  *;_;*  *;_;* Fri, 22 Jun 2007 07:54:45 GMT *;_;* Tue, 21 Dec 2010 10:51:56 GMT *;_;* 2010-12-21 10:51:51
http://www.spiegel.de/politik/deutschland/0,1518,731612,00.html *;_;* data/evaluation/daterecognition/webpages/webpage_1292927030020.html *;_;* 28.11.2010 *;_;* true *;_;* 28.11.2010 *;_;* true *;_;* 2010-11-28 *;_;*  *;_;* 2010-11-28 *;_;*  *;_;* Tue, 21 Dec 2010 10:23:53 GMT *;_;* 2010-12-21 10:23:50
http://www.nypost.com/p/news/national/us_jobless_claims_rise_to_highest_zfSo6xFU3DPTE2zf2SCaoJ *;_;* data/evaluation/daterecognition/webpages/webpage_1301423301577.html *;_;* August 19, 2010 *;_;* true *;_;* August 19, 2010 *;_;* true *;_;* 2010-08-19 *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 18:28:28 GMT *;_;* 2011-03-29 18:28:21
http://dev.www.jsonline.com/news/milwaukee/107595138.html *;_;* data/evaluation/daterecognition/webpages/webpage_1294148678378.html *;_;* Nov. 12, 2010 *;_;* true *;_;* Nov. 12, 2010 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Tue, 04 Jan 2011 13:44:43 GMT *;_;* Tue, 04 Jan 2011 13:44:46 GMT *;_;* 2011-01-04 13:44:38
http://www.fool.com/features/1996/interview961025.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1294234536307.html *;_;* 2000/07/29 *;_;* true *;_;* 2000/07/29 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Wed, 05 Jan 2011 13:35:47 GMT *;_;* 2011-01-05 13:35:36
http://www.channelinsider.com/c/a/Tech-Analysis/Sun-Adds-Glamour-to-Thin-Clients/ *;_;* data/evaluation/daterecognition/webpages/webpage_1301430706354.html *;_;* 2005-07-14 *;_;* true *;_;* 2005-07-14 *;_;* true *;_;* 2005-07-14 *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 20:31:54 GMT *;_;* Tue, 29 Mar 2011 20:31:54 GMT *;_;* 2011-03-29 20:31:46
http://mondaymag.com/articles/entry/film331/ *;_;* data/evaluation/daterecognition/webpages/webpage_1301416147789.html *;_;* 07/30/2008 12:00 AM *;_;* true *;_;* 07/30/2008 12:00 AM *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 16:29:15 GMT *;_;* Tue, 29 Mar 2011 16:29:14 GMT *;_;* 2011-03-29 16:29:07
http://www.franciscansisterspeoria.org/page37.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1301427805100.html *;_;*  *;_;* false *;_;* November 19, 2009 *;_;* true *;_;* 2009-11-19 *;_;*  *;_;*  *;_;* Thu, 19 Nov 2009 21:22:04 GMT *;_;* Tue, 29 Mar 2011 19:43:32 GMT *;_;* 2011-03-29 19:43:25
http://cjonline.com/stories/091704/opi_naylor.shtml *;_;* data/evaluation/daterecognition/webpages/webpage_1301423289253.html *;_;* September 17, 2004 *;_;* true *;_;* September 17, 2004 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 18:28:16 GMT *;_;* 2011-03-29 18:28:09
http://www.lexology.com/library/detail.aspx?g=e8963925-d56c-4d44-a1d3-0ce5b30f5590 *;_;* data/evaluation/daterecognition/webpages/webpage_1292928048164.html *;_;* October 27 2010 *;_;* true *;_;* October 27 2010 *;_;* true *;_;* 2010-10-27 *;_;*  *;_;* 2010-10-27 *;_;*  *;_;* Tue, 21 Dec 2010 10:40:52 GMT *;_;* 2010-12-21 10:40:48
http://www.politico.com/news/stories/1108/15283.html *;_;* data/evaluation/daterecognition/webpages/webpage_1294149871032.html *;_;* Nov. 5, 2008 *;_;* false *;_;* Nov. 5, 2008 *;_;* true *;_;* 2008-11-05 *;_;*  *;_;* 2008-11-05 *;_;* Tue, 31 Aug 2010 22:19:31 GMT *;_;* Tue, 04 Jan 2011 14:04:39 GMT *;_;* 2011-01-04 14:04:31
http://news.bbc.co.uk/2/hi/technology/7486668.stm *;_;* data/evaluation/daterecognition/webpages/webpage_1301416144759.html *;_;* 3 July 2008 01:28 *;_;* true *;_;* 3 July 2008 01:28 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 16:29:12 GMT *;_;* 2011-03-29 16:29:04
http://www.nature.com/news/1998/020819/full/news020819-5.html *;_;* data/evaluation/daterecognition/webpages/webpage_1301423332055.html *;_;* 22 August 2002 *;_;* true *;_;* 22 August 2002 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Tue, 29 Mar 2011 18:28:59 GMT *;_;* 2011-03-29 18:28:52
