url *;_;* path *;_;* pub_date *;_;* pub_sureness *;_;* mod_date *;_;* mod_sureness *;_;* google_date *;_;* hakia_date *;_;* ask_date *;_;* header_last_mod *;_;* header_date *;_;* down_date 
http://www.epa.gov/interstateairquality/technical.html *;_;* data/evaluation/daterecognition/webpages/webpage_1295902205260.html *;_;* July 09, 2010 *;_;* true *;_;* July 09, 2010 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Fri, 09 Jul 2010 16:00:23 GMT *;_;* Mon, 24 Jan 2011 20:50:06 GMT *;_;* 2011-01-24 20:50:05
http://www.dandodiary.com/2009/09/ *;_;* data/evaluation/daterecognition/webpages/webpage_1292928806194.html *;_;* September 1, 2009 *;_;* true *;_;* September 30, 2009 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Wed, 03 Nov 2010 21:56:01 GMT *;_;* Tue, 21 Dec 2010 10:53:30 GMT *;_;* 2010-12-21 10:53:26
http://www.futuresmag.com/Issues/2008/11/Pages/Jamie-Charles-Discretion-in-management.aspx *;_;* data/evaluation/daterecognition/webpages/webpage_1295903477738.html *;_;* 10/29/2008 *;_;* true *;_;* 10/29/2008 *;_;* true *;_;* 2008-10-29 *;_;*  *;_;* 2008-10-29 *;_;* Mon, 24 Jan 2011 21:11:19 GMT *;_;* Mon, 24 Jan 2011 21:11:18 GMT *;_;* 2011-01-24 21:11:17
http://www.f-106deltadart.com/depot-saalc.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1292928217776.html *;_;*  *;_;* false *;_;* 17 Mar 2006 13:45:14 GMT *;_;* false *;_;*  *;_;*  *;_;*  *;_;* Sat, 13 Nov 2010 12:31:36 GMT *;_;* Tue, 21 Dec 2010 10:43:42 GMT *;_;* 2010-12-21 10:43:37
http://www.politico.com/blogs/thecrypt/0508/Pelosi_strongly_condemns_Bush_speech.html *;_;* data/evaluation/daterecognition/webpages/webpage_1292928636119.html *;_;* May 15, 2008 *;_;* true *;_;* May 15, 2008 *;_;* true *;_;* 2008-05-15 *;_;*  *;_;* 2008-05-15 *;_;* Tue, 31 Aug 2010 04:03:45 GMT *;_;* Tue, 21 Dec 2010 10:50:40 GMT *;_;* 2010-12-21 10:50:36
http://havenworks.com/hacking/ *;_;* data/evaluation/daterecognition/webpages/webpage_1294150327000.html *;_;* 2001-10-05 *;_;* true *;_;* 2009-03-29 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Wed, 22 Apr 2009 02:55:30 GMT *;_;* Tue, 04 Jan 2011 14:12:13 GMT *;_;* 2011-01-04 14:12:06
http://www.france24.com/en/20100701-crisis-hit-belgium-takes-eu-helm-presidency-domestic-political-turmoil *;_;* data/evaluation/daterecognition/webpages/webpage_1295902799015.html *;_;* 2010-07-01 *;_;* true *;_;* 2010-07-01 *;_;* true *;_;* 2010-07-01 *;_;* 2010-07-01 18:46:00 *;_;* 2010-07-01 *;_;* Mon, 24 Jan 2011 20:59:54 GMT *;_;* Mon, 24 Jan 2011 21:00:00 GMT *;_;* 2011-01-24 20:59:59
http://narcosphere.narconews.com/thefield/president-planet-stupid-people-opposes-caroline-kennedy *;_;* data/evaluation/daterecognition/webpages/webpage_1292927066953.html *;_;* December 20, 2008 *;_;* true *;_;* December 26, 2008 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 06:20:50 GMT *;_;* Tue, 21 Dec 2010 06:20:49 GMT *;_;* 2010-12-21 10:24:26
http://www.foodtimeline.org/foodcookies.html *;_;* data/evaluation/daterecognition/webpages/webpage_1294148707437.html *;_;* 16 December 2010 *;_;* true *;_;* 18 Dec 2010 22:19:59 GMT *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Sat, 18 Dec 2010 22:19:59 GMT *;_;* Tue, 04 Jan 2011 13:45:15 GMT *;_;* 2011-01-04 13:45:07
http://rockmine.wordpress.com/ *;_;* data/evaluation/daterecognition/webpages/webpage_1295903129600.html *;_;* June 25, 2009 *;_;* true *;_;* December 10, 2010 *;_;* true *;_;* 1995-07-18 *;_;*  *;_;* 1995-07-18 *;_;* Mon, 24 Jan 2011 21:05:21 +0000 *;_;* Mon, 24 Jan 2011 21:05:31 GMT *;_;* 2011-01-24 21:05:29
http://www.ci.kankakee.il.us/City%20Council%20Minutes/ccm2010/10-18-10.MIN[1].htm *;_;* data/evaluation/daterecognition/webpages/webpage_1294148929419.html *;_;* OCTOBER 18, 2010 *;_;* true *;_;* OCTOBER 18, 2010 *;_;* false *;_;*  *;_;*  *;_;*  *;_;* Mon, 15 Nov 2010 20:00:46 GMT *;_;* Tue, 04 Jan 2011 13:48:57 GMT *;_;* 2011-01-04 13:48:49
http://www.thoughtwareworldwide.com/news/ge.html *;_;* data/evaluation/daterecognition/webpages/webpage_1294163759331.html *;_;* September 5, 2005 *;_;* true *;_;* September 5, 2005 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Wed, 19 Mar 2008 02:51:52 GMT *;_;* Tue, 04 Jan 2011 17:56:07 GMT *;_;* 2011-01-04 17:55:59
http://www.rocketpunk-observatory.com/startrade.htm *;_;* data/evaluation/daterecognition/webpages/webpage_1292928886812.html *;_;* February 20, 2001 *;_;* true *;_;* February 20, 2001 *;_;* true *;_;* 2001-02-20 *;_;*  *;_;* 2001-02-20 *;_;* Mon, 29 Jun 2009 01:59:47 GMT *;_;* Tue, 21 Dec 2010 10:54:51 GMT *;_;* 2010-12-21 10:54:46
