url *;_;* path *;_;* pub_date *;_;* pub_sureness *;_;* mod_date *;_;* mod_sureness *;_;* google_date *;_;* hakia_date *;_;* ask_date *;_;* header_last_mod *;_;* header_date *;_;* down_date 
http://www.cbssports.com/nba/story/13679357/family-memphis-police-find-lorenzen-wrights-body/cbsnews *;_;* data/webpages/daterecognition/webpage_1296127783345.html *;_;* July 28, 2010 *;_;* true *;_;* July 28, 2010 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 11:29:52 GMT *;_;* 2011-01-27 11:29:43
http://today.msnbc.msn.com/id/36552231/ns/today-today_people/ *;_;* data/webpages/daterecognition/webpage_1296127907791.html *;_;* 4/15/2010 9:42:57 AM *;_;* true *;_;* 2010-04-15T13:42:57 *;_;* true *;_;* 2010-04-15 *;_;*  *;_;* 2010-04-15 *;_;*  *;_;* Thu, 27 Jan 2011 11:31:57 GMT *;_;* 2011-01-27 11:31:47
http://www.msnbc.msn.com/id/35847628/ns/world_news-asiapacific/ *;_;* data/webpages/daterecognition/webpage_1296130296281.html *;_;* 3/14/2010 8:00:18 AM *;_;* true *;_;* 3/14/2010 8:00:18 AM *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 12:11:45 GMT *;_;* 2011-01-27 12:11:36
http://www.fox40.com/news/headlines/ktxl-robbery-or-hate-crime-sacramen-112810,0,6781447.story *;_;* data/webpages/daterecognition/webpage_1296130348380.html *;_;* November 28, 2010 *;_;* true *;_;* November 28, 2010 *;_;* true *;_;* 2010-11-28 *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 12:12:35 GMT *;_;* Thu, 27 Jan 2011 12:12:37 GMT *;_;* 2011-01-27 12:12:28
http://www.dandodiary.com/2009/09/ *;_;* data/webpages/daterecognition/webpage_1292928806194.html *;_;* September 1, 2009 *;_;* true *;_;* September 30, 2009 *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Wed, 03 Nov 2010 21:56:01 GMT *;_;* Tue, 21 Dec 2010 10:53:30 GMT *;_;* 2010-12-21 10:53:26
http://www.msnbc.msn.com/id/15955729/ns/world_news-europe *;_;* data/webpages/daterecognition/webpage_1296130289911.html *;_;* 11/29/2006 9:53:14 PM *;_;* true *;_;* 11/29/2006 9:53:14 PM *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 12:11:39 GMT *;_;* 2011-01-27 12:11:29
http://www.spiegel.de/international/germany/0,1518,700108-2,00.html *;_;* data/webpages/daterecognition/webpage_1296131744427.html *;_;* 06/11/2010 *;_;* true *;_;* 06/11/2010 *;_;* true *;_;* 2010-06-11 *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 12:35:52 GMT *;_;* 2011-01-27 12:35:44
http://www.fda.gov/Food/ScienceResearch/ResearchAreas/SafePracticesforFoodProcesses/ucm091260.htm *;_;* data/webpages/daterecognition/webpage_1296127894365.html *;_;* 06/18/2009 *;_;* true *;_;* 06/18/2009 *;_;* true *;_;* 2009-06-18 *;_;*  *;_;* 2009-06-18 *;_;*  *;_;* Thu, 27 Jan 2011 11:31:43 GMT *;_;* 2011-01-27 11:31:34
http://abclocal.go.com/wpvi/story?section=news/local&id=7700472 *;_;* data/webpages/daterecognition/webpage_1296131800627.html *;_;* October 01, 2010 *;_;* true *;_;* 10/2/10 8:37 PM *;_;* true *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 12:36:50 GMT *;_;* Thu, 27 Jan 2011 12:36:50 GMT *;_;* 2011-01-27 12:36:40
http://www.networkworld.com/news/2008/111008-hacking-arrests-doubled-in-japan.html?fsrc=rss-security *;_;* data/webpages/daterecognition/webpage_1296129343957.html *;_;*  *;_;* true *;_;* 2008-11-10 *;_;* true *;_;*  *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 11:55:53 GMT *;_;* 2011-01-27 11:55:43
http://www.engineeringtalk.com/news/gef/gef134.html *;_;* data/webpages/daterecognition/webpage_1296123528369.html *;_;* 2001-02.01 *;_;* true *;_;* 2001-02.01 *;_;* true *;_;* 2001-02-08 *;_;*  *;_;*  *;_;* Thu, 11 Mar 2010 18:16:44 GMT *;_;* Thu, 27 Jan 2011 10:19:53 GMT *;_;* 2011-01-27 10:18:48
http://blogs.browardpalmbeach.com/pulp/2010/03/josephus_eggelletion_sentenced.php *;_;* data/webpages/daterecognition/webpage_1296122017145.html *;_;* Mar. 12 2010 *;_;* true *;_;*  *;_;* false *;_;* 2010-03-12 *;_;*  *;_;* 2010-03-12 *;_;* Wed, 30 Jun 2010 14:58:30 GMT *;_;* Thu, 27 Jan 2011 09:53:44 GMT *;_;* 2011-01-27 09:53:37
http://www.businessinsider.com/corruption-in-congress-dozens-investigated-for-ethics-violations-2009-10 *;_;* data/webpages/daterecognition/webpage_1296127652803.html *;_;* Oct. 30, 2009 *;_;* false *;_;* 2010-01-28 *;_;* false *;_;* 2009-10-30 *;_;*  *;_;* 2009-10-30 *;_;*  *;_;* Thu, 27 Jan 2011 11:27:41 GMT *;_;* 2011-01-27 11:27:32
http://www.welfare.ie/EN/Policy/PolicyPublications/Pages/comfam.aspx *;_;* data/webpages/daterecognition/webpage_1296129347206.html *;_;* 29/09/2008 13:38 *;_;* true *;_;* 29/09/2008 13:38 *;_;* true *;_;* 2008-09-29 *;_;*  *;_;* 2008-09-29 *;_;* Thu, 27 Jan 2011 11:48:20 GMT *;_;* Thu, 27 Jan 2011 11:48:21 GMT *;_;* 2011-01-27 11:55:47
http://www.thestreet.com/story/1499521/energy-investors-hope-opec-production-cut-fires-up-sector.html *;_;* data/webpages/daterecognition/webpage_1292928061898.html *;_;* 24.07.2001 *;_;* true *;_;* 24.07.2001 *;_;* false *;_;* 2001-07-24 *;_;*  *;_;*  *;_;*  *;_;* Tue, 21 Dec 2010 10:41:05 GMT *;_;* 2010-12-21 10:41:01
http://www.winnipegfreepress.com/opinion/columnists/mayweather-risks-legacy-by-fleeing-pacquiao-92845239.html?viewAllComments=y *;_;* data/webpages/daterecognition/webpage_1296122089635.html *;_;* 05/5/2010 1:00 AM *;_;* true *;_;* May 7, 2010 *;_;* true *;_;* 2010-05-05 *;_;*  *;_;*  *;_;*  *;_;* Thu, 27 Jan 2011 09:54:58 GMT *;_;* 2011-01-27 09:54:49
http://caps.fool.com/Blogs/inflationary-depression-or/99863 *;_;* data/webpages/daterecognition/webpage_1296127763267.html *;_;* October 19, 2008 *;_;* true *;_;* October 20, 2008 *;_;* true *;_;* 2008-10-19 *;_;*  *;_;* 2008-10-19 *;_;*  *;_;* Thu, 27 Jan 2011 11:29:31 GMT *;_;* 2011-01-27 11:29:23
