classifier;roc-auc;accuracy
PalladianTextClassifier[scorer=DefaultScorer, featureSetting=FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]];0.9350447577937534;0.852938824470212
PalladianTextClassifier[scorer=BayesScorer [LAPLACE], featureSetting=FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]];0.9368514404476296;0.8524590163934426
PalladianTextClassifier[scorer=BayesScorer [LAPLACE, PRIORS], featureSetting=FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]];0.9368515491606593;0.8524190323870452
PalladianTextClassifier[scorer=BayesScorer [LAPLACE, PRIORS, FREQUENCIES], featureSetting=FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]];0.9395983884892116;0.866453418632547
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9616841310951423;0.9014794082367054
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9703993796962246;0.9158736505397841
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9654105387689729;0.9083566573370652
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9661125435651525;0.90843662534986
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9649563485211773;0.9076369452219112
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9663209720223869;0.9082766893242703
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9418814388489073;0.8789684126349461
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [BINARY, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9568272933653017;0.8955217912834866
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.959447072741834;0.8976009596161535
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9676146059152683;0.9123150739704118
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9602362589928168;0.9009996001599361
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, IDF, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.96312808952838;0.9030387844862056
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9595987721822473;0.9001599360255897
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, IDF_SMOOTH, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9629788265387563;0.9029188324670132
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.945660572342133;0.8862455017992803
NbSvmLearner [learner=LibLinearLearner, vectorizer=TextVectorizer [RAW_COUNT, IDF_MAX, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.9521367034372605;0.8944822071171531
TextVectorClassifier [learner=LibLinearLearner, vectorizer=TextVectorizer [TERM_FREQUENCY, UNARY, alpha=0, FeatureSetting [1-2-WORD_NGRAMS, termLength=1-2147483647, language=ENGLISH]]];0.7443962717825771;0.6806077568972411
