%
% ARFF data file, generated by KNIME
%
% Date: Mon May 09 22:37:07 CEST 2011
% User: salco
%

@RELATION DataTable
@ATTRIBUTE id	INTEGER
@ATTRIBUTE pub	{1,0}
@ATTRIBUTE mod	{0,1}
@ATTRIBUTE year	{1}
@ATTRIBUTE month	{1}
@ATTRIBUTE day	{1}
@ATTRIBUTE hour	{0,1}
@ATTRIBUTE minute	{0,1}
@ATTRIBUTE second	{0,1}
@ATTRIBUTE relDocPos	REAL
@ATTRIBUTE ordDocPos	REAL
@ATTRIBUTE ordAgePos	REAL
@ATTRIBUTE keyClass	{0,2,3,1}
@ATTRIBUTE keyLoc	{0,2,1}
@ATTRIBUTE keyDiff	REAL
@ATTRIBUTE simpleTag	{0,1}
@ATTRIBUTE hTag	{0,1}
@ATTRIBUTE tagName	{SPAN,STRONG,P,EM,LI,H5,FONT,DIV,H2,A,B,I,CENTER,OPTION,SMALL,TD,TITLE,H3,ADDRESS,BODY,ABBR,NOBR,EDITDATE,CITE,H6,PRE,H4,CODE,H1,DD,BLOCKQUOTE,DT,TIME,HTML:ABBR,PAUSING,DL,U}
@ATTRIBUTE hasStructureDate	{0,1}
@ATTRIBUTE inMetaDates	{0,1}
@ATTRIBUTE inUrl	{0,1}
@ATTRIBUTE relCntSame	REAL
@ATTRIBUTE relSize	REAL
@ATTRIBUTE distPosBefore	INTEGER
@ATTRIBUTE distPosAfter	INTEGER
@ATTRIBUTE distAgeBefore	INTEGER
@ATTRIBUTE distAgeAfter	INTEGER
@ATTRIBUTE format	{'MMMM DD, YYYY','MMMM DD, YYYY YYYY HH:MM:SS +UTC',MM/DD/YYYY,'DD. MMMM YYYY',DD.MM.YYYY,YYYY-MM-DD,YYYY_MM_DD,YYYYMMDD,'MM/DD/YYYY HH:MM:SS +UTC','DD. MMMM YYYY HH:MM:SS +UTC','DD.MM.YYYY HH:MM:SS +UTC',MMMM-DD-YYYY,YYYY-MM-DDTHH:MM:SS+HH:MM,YYYY-DDD,'WD, DD MMM YYYY HH:MM:SS +UTC',YYYY-MMM-D,'WD MMM DD_1 HH:MM:SS YYYY',YYYYDDD}
@ATTRIBUTE keyword	{null,updated,date,created,posted,published,release,update,added,released,'last modified',create,publish,pubdate,pdate,revised,date-header,revise,datetime,geschrieben}
@ATTRIBUTE excatness	{3,5,6,4}
@ATTRIBUTE keyLoc201	{0,1}
@ATTRIBUTE keyLoc202	{0,1}
@ATTRIBUTE isKeyClass1	{0,1}
@ATTRIBUTE isKeyClass2	{0,1}
@ATTRIBUTE isKeyClass3	{0,1}

@DATA
19503,1,0,1,1,1,0,0,0,0.037,0.1,0.1,0,0,0.0,0,0,SPAN,0,0,0,0.3,0.1,-1,3875,0,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19504,0,0,1,1,1,0,0,0,0.36,0.2,0.7,2,2,0.667,0,0,SPAN,0,0,0,0.1,0.1,3875,147,8760,-1,'MMMM DD, YYYY',updated,3,0,1,0,1,0
19505,1,0,1,1,1,0,0,0,0.372,0.3,0.2,3,2,0.767,0,0,SPAN,0,0,0,0.3,0.1,147,975,0,-1,'MMMM DD, YYYY',date,3,0,1,0,0,1
19506,0,0,1,1,1,0,0,0,0.453,0.4,0.6,1,2,0.567,0,0,SPAN,0,0,0,0.1,0.1,975,338,17520,-1,'MMMM DD, YYYY',created,3,0,1,1,0,0
19507,0,0,1,1,1,0,0,0,0.481,0.5,0.5,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,338,546,8784,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19508,0,0,1,1,1,0,0,0,0.527,0.6,0.4,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,546,692,8760,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19509,0,0,1,1,1,0,0,0,0.584,0.7,1.0,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,692,126,8760,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19510,0,0,1,1,1,0,0,0,0.595,0.8,0.9,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,126,379,8760,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19511,0,0,1,1,1,0,0,0,0.627,0.9,0.8,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,379,498,17544,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19512,1,0,1,1,1,0,0,0,0.668,1.0,0.3,0,0,0.0,0,0,SPAN,0,0,0,0.3,0.1,498,-1,8760,-1,'MMMM DD, YYYY',null,3,0,0,0,0,0
19513,1,1,1,1,1,0,0,0,0.036,0.04,1.0,1,2,0.967,1,0,STRONG,0,0,0,0.04,0.04,-1,7115,12841,-1,'MMMM DD, YYYY',posted,3,0,1,1,0,0
19514,0,0,1,1,1,1,1,0,0.594,0.08,0.04,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,7115,242,167,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19515,0,0,1,1,1,1,1,0,0.613,0.12,0.08,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,242,169,166,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19516,0,0,1,1,1,1,1,0,0.626,0.16,0.12,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,169,209,98,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19517,0,0,1,1,1,1,1,0,0.642,0.2,0.16,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,209,182,168,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19518,0,0,1,1,1,1,1,0,0.657,0.24,0.2,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,182,166,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19519,0,0,1,1,1,1,1,0,0.67,0.28,0.32,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,166,195,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
19520,0,0,1,1,1,1,1,0,0.685,0.32,0.44,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,195,156,0,-1,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
