@RELATION DataTable
@ATTRIBUTE pub	{0,1}
@ATTRIBUTE hour	{0,1}
@ATTRIBUTE minute	{0,1}
@ATTRIBUTE second	{0,1}
@ATTRIBUTE relDocPos	REAL
@ATTRIBUTE ordDocPos	REAL
@ATTRIBUTE ordAgePos	REAL
@ATTRIBUTE keyClass	{3,0,1,2}
@ATTRIBUTE keyLoc	{2,0,1}
@ATTRIBUTE keyDiff	REAL
@ATTRIBUTE simpleTag	{0,1}
@ATTRIBUTE hTag	{0,1}
@ATTRIBUTE tagName	{SPAN,P,LI,FONT,DIV,H2,A,B,OPTION,SMALL,EM,H3,CENTER,ABBR,NOBR,STRONG,TD,CITE,BODY,I,PRE,DD,DT,BLOCKQUOTE,HTML:ABBR,H4,H5,TITLE,PAUSING,DL,U,ADDRESS,EDITDATE,H6,CODE,H1,TIME}
@ATTRIBUTE hasStructureDate	{0,1}
@ATTRIBUTE inMetaDates	{0,1}
@ATTRIBUTE inUrl	{0,1}
@ATTRIBUTE relCntSame	REAL
@ATTRIBUTE relSize	REAL
@ATTRIBUTE distPosBefore	INTEGER
@ATTRIBUTE distPosAfter	INTEGER
@ATTRIBUTE distAgeBefore	INTEGER
@ATTRIBUTE format	{'MMMM DD, YYYY','MMMM DD, YYYY YYYY HH:MM:SS +UTC',MM/DD/YYYY,'DD. MMMM YYYY',DD.MM.YYYY,YYYY-MM-DD,YYYY_MM_DD,'MM/DD/YYYY HH:MM:SS +UTC','DD. MMMM YYYY HH:MM:SS +UTC',YYYYMMDD,YYYY-DDD,'WD, DD MMM YYYY HH:MM:SS +UTC',MMMM-DD-YYYY,YYYY-MMM-D,'DD.MM.YYYY HH:MM:SS +UTC',YYYY-MM-DDTHH:MM:SS+HH:MM,YYYYDDD,'WD MMM DD_1 HH:MM:SS YYYY'}
@ATTRIBUTE keyword	{date,null,posted,update,release,added,updated,create,publish,released,published,revised,created,pdate,revise,'last modified',date-header,pubdate,datetime,geschrieben}
@ATTRIBUTE excatness	{3,5,4,6}
@ATTRIBUTE keyLoc201	{0,1}
@ATTRIBUTE keyLoc202	{1,0}
@ATTRIBUTE isKeyClass1	{0,1}
@ATTRIBUTE isKeyClass2	{0,1}
@ATTRIBUTE isKeyClass3	{1,0}

@DATA
1,0,0,0,0.037,0.1,0.1,0,0,0.0,0,0,SPAN,0,0,0,0.3,0.1,-1,3875,0,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.36,0.2,0.7,2,2,0.667,0,0,SPAN,0,0,0,0.1,0.1,3875,147,8760,'MMMM DD, YYYY',updated,3,0,1,0,1,0
0,0,0,0,0.453,0.4,0.6,1,2,0.567,0,0,SPAN,0,0,0,0.1,0.1,975,338,17520,'MMMM DD, YYYY',created,3,0,1,1,0,0
0,0,0,0,0.595,0.8,0.9,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,126,379,8760,'MMMM DD, YYYY',null,3,0,0,0,0,0
0,0,0,0,0.627,0.9,0.8,0,0,0.0,0,0,SPAN,0,0,0,0.1,0.1,379,498,17544,'MMMM DD, YYYY',null,3,0,0,0,0,0
1,0,0,0,0.668,1.0,0.3,0,0,0.0,0,0,SPAN,0,0,0,0.3,0.1,498,-1,8760,'MMMM DD, YYYY',null,3,0,0,0,0,0
1,0,0,0,0.036,0.04,1.0,1,2,0.967,1,0,STRONG,0,0,0,0.04,0.04,-1,7115,12841,'MMMM DD, YYYY',posted,3,0,1,1,0,0
0,1,1,0,0.594,0.08,0.04,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,7115,242,167,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.613,0.12,0.08,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,242,169,166,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.626,0.16,0.12,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,169,209,98,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.642,0.2,0.16,0,0,0.0,0,0,SPAN,0,0,0,0.04,0.04,209,182,168,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.657,0.24,0.2,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,182,166,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.67,0.28,0.32,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,166,195,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.685,0.32,0.44,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,195,156,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.697,0.36,0.56,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,156,202,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.713,0.4,0.68,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,202,205,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.729,0.44,0.8,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,205,600,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.776,0.48,0.24,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,600,166,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
0,1,1,0,0.832,0.64,0.72,0,0,0.0,0,0,SPAN,0,0,0,0.12,0.04,202,205,0,'MMMM DD, YYYY YYYY HH:MM:SS +UTC',null,5,0,0,0,0,0
